date,age,stack,exp,salary,location
2016-11-30,27,Tester,4,6 800 pln brutto uop,Kraków
2016-12-01,25,Tester,2.5,6 000 pln brutto uop,Kraków
2016-12-01,26,Tester,1.17,3 650 pln brutto ?,Bydgoszcz
2016-12-06,23,.NET,1.5,5 000 pln netto uz,Kraków
2016-12-06,30,.NET,10,10 000 pln brutto uop,Gdańsk
2016-12-07,29,Tester Manualny,0.5,1 600 pln netto uop,Łódź
2016-12-10,22,Javascript,1,3 500 pln brutto uop,Katowice
2016-12-14,21,Java,0.75,6 000 pln netto uod,Warszawa
2016-12-15,23,Javascript,2,8 500 pln netto b2b,Warszawa
2016-12-20,22,Ruby,2.5,15 000 pln netto b2b,Kraków
2016-12-22,32,PHP,10,12 000 pln netto uop,Poznań
2016-12-22,19,PHP,1,15 000 pln netto uop,Kraków
2017-01-04,26,.NET,0,2 300 pln netto ?,Warszawa
2017-01-05,25,Java,2,9 500 pln netto b2b,Warszawa
2017-01-06,21,iOS,1,7 000 pln netto ?,Kraków
2017-01-06,22,.NET,1.75,5 500 pln netto b2b,Poznań
2017-01-09,29,Javascript,1.25,2 400 pln ! uod,Wrocław
2017-01-09,28,.NET,2,6 500 pln brutto ?,Łódź
2017-01-09,23,Java,1,6 000 pln brutto ?,Łódź
2017-01-10,24,Android,1.75,3 400 pln ! uz,Lublin
2017-01-10,36,Admin,11,13 000 pln brutto uop,Kraków
2017-01-10,24,PHP,3,6 000 pln netto uop,Warszawa
2017-01-15,29,Java,4,9 500 pln brutto uop,Katowice
2017-01-15,22,Java,0.5,3 000 pln brutto ?,Łódź
2017-01-16,22,Java,1.5,3 000 pln netto uz,Lublin
2017-01-17,22,C++,1.5,5 500 pln brutto uop,Kraków
2017-01-18,31,Java,2,3 800 pln netto uop,Lublin
2017-01-18,23,.NET,0.67,4 000 pln brutto uop,Łódź
2017-01-18,23,Java,0,3 500 pln netto uz,Gdańsk
2017-01-18,28,Java,2,5 500 pln netto uop,Wrocław
2017-01-20,32,.NET,10,17 500 pln netto b2b,Lublin
2017-01-21,30,Java,7,16 000 pln ! uop,Kraków
2017-01-23,22,Java,0,1 800 pln brutto uz,Katowice
2017-01-25,20,Java,13,8 000 pln netto uod,Warszawa
2017-01-26,23,Java,2,3 000 pln netto uod,Kraków
2017-01-30,23,Informatyczna Obsługa Produkcj,0.58,1 800 pln netto uop,Chorzow
2017-01-31,25,Python,2,7 000 pln netto uod,Zdalnie
2017-01-31,25,Embedded,0.75,5 000 pln brutto uop,Wrocław
2017-02-02,28,Java,2.5,11 500 pln netto b2b,Kraków
2017-02-03,22,Java,2.17,7 500 pln brutto uop,Warszawa
2017-02-04,24,Javascript,0.58,1 800 pln netto ?,Poznań
